Date,Fiscal Year,Fiscal Quarter,Fiscal Period,Fiscal Year-Quarter,Fiscal Year-Period,Fiscal Year Sort,Fiscal Quarter Sort,Fiscal Period Sort,Fiscal Year-Quarter Sort,Fiscal Year-Period Sort
21-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
22-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
23-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
24-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
25-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
26-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
27-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
28-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
29-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
01-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
02-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
03-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
04-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
05-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
06-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
07-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
08-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
09-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
10-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
11-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
12-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
13-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
14-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
15-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
16-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
17-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
18-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
19-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
20-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
21-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
22-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
23-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
24-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
25-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
26-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
27-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
28-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
29-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
30-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
31-Mar-20,2020,Q1,P3,2020-Q1,2020-P3,3,1,10,12,34
01-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
02-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
03-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
04-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
05-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
06-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
07-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
08-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
09-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
10-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
11-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
12-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
13-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
14-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
15-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
16-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
17-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
18-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
19-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
20-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
21-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
22-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
23-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
24-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
25-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
26-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
27-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
28-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
29-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
30-Apr-20,2020,Q2,P4,2020-Q2,2020-P4,3,2,9,11,33
01-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
02-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
03-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
04-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
05-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
06-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
07-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
08-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
09-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
10-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
11-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
12-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
13-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
14-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
15-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
16-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
17-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
18-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
19-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
20-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
21-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
22-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
23-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
24-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
25-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
26-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
27-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
28-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
29-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
30-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
31-May-20,2020,Q2,P5,2020-Q2,2020-P5,3,2,8,11,32
01-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
02-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
03-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
04-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
05-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
06-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
07-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
08-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
09-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
10-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
11-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
12-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
13-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
14-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
15-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
16-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
17-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
18-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
19-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
20-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
21-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
22-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
23-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
24-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
25-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
26-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
27-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
28-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
29-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
30-Jun-20,2020,Q2,P6,2020-Q2,2020-P6,3,2,7,11,31
01-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
02-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
03-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
04-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
05-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
06-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
07-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
08-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
09-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
10-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
11-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
12-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
13-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
14-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
15-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
16-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
17-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
18-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
19-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
20-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
21-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
22-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
23-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
24-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
25-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
26-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
27-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
28-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
29-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
30-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
31-Jul-20,2020,Q3,P7,2020-Q3,2020-P7,3,3,6,10,30
01-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
02-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
03-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
04-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
05-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
06-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
07-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
08-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
09-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
10-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
11-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
12-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
13-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
14-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
15-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
16-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
17-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
18-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
19-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
20-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
21-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
22-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
23-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
24-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
25-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
26-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
27-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
28-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
29-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
30-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
31-Aug-20,2020,Q3,P8,2020-Q3,2020-P8,3,3,5,10,29
01-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
02-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
03-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
04-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
05-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
06-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
07-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
08-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
09-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
10-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
11-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
12-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
13-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
14-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
15-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
16-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
17-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
18-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
19-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
20-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
21-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
22-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
23-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
24-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
25-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
26-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
27-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
28-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
29-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
30-Sep-20,2020,Q3,P9,2020-Q3,2020-P9,3,3,4,10,28
01-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
02-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
03-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
04-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
05-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
06-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
07-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
08-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
09-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
10-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
11-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
12-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
13-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
14-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
15-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
16-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
17-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
18-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
19-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
20-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
21-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
22-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
23-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
24-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
25-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
26-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
27-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
28-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
29-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
30-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
31-Oct-20,2020,Q4,P10,2020-Q4,2020-P10,3,4,3,9,27
01-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
02-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
03-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
04-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
05-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
06-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
07-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
08-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
09-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
10-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
11-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
12-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
13-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
14-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
15-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
16-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
17-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
18-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
19-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
20-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
21-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
22-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
23-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
24-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
25-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
26-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
27-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
28-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
29-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
30-Nov-20,2020,Q4,P11,2020-Q4,2020-P11,3,4,2,9,26
01-Dec-20,2020,Q4,P12,2020-Q4,2020-P12,3,4,1,9,25
02-Dec-20,2020,Q4,P12,2020-Q4,2020-P12,3,4,1,9,25
